,Day,Month,Year,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Autumn,Spring,Summer,Holiday,Functioning Day
0,1.0,12.0,2017.0,-0.6986504580732504,-1.661324772583615,-1.5139572362780525,-1.042482884587357,0.4584757759647645,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
1,1.0,12.0,2017.0,-0.7761745672777505,-1.516861748880692,-1.5390741483279362,-0.9933699887973514,-0.8925614955119693,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
2,1.0,12.0,2017.0,-0.8242395149845405,-1.372398725177769,-1.580935668411076,-0.9442570930073456,-0.6995561710152931,0.9258713477706347,-1.6672618610968273,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
3,1.0,12.0,2017.0,-0.9265713391344805,-1.227935701474846,-1.597680276444332,-0.8951441972173398,-0.7960588332636312,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
4,1.0,12.0,2017.0,-0.9715353224730905,-1.0834726777719228,-1.580935668411076,-1.0915957803773628,0.5549784382131023,0.9258713477706347,-1.73617655645942,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
5,1.0,12.0,2017.0,-0.9374247144231105,-0.9390096540689998,-1.614424884477588,-1.042482884587357,-0.21704285977360252,0.9258713477706347,-1.7438337448330412,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
6,1.0,12.0,2017.0,-0.8118356575118204,-0.7945466303660768,-1.6311694925108438,-1.1407086761673686,-0.4100481842702787,0.9258713477706347,-1.8050912518220124,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
7,1.0,12.0,2017.0,-0.37925112815071027,-0.6500836066631537,-1.6981479246438673,-0.9933699887973514,-0.7960588332636312,0.9258713477706347,-1.7897768750747698,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
8,1.0,12.0,2017.0,0.3494754983715901,-0.5056205829602307,-1.7148925326771234,-1.042482884587357,-0.603053508766955,0.9258713477706347,-1.8280628169428768,-0.6436202182560112,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
9,1.0,12.0,2017.0,-0.3327366626280102,-0.36115755925730764,-1.6227971884942156,-1.5336118424874146,-1.1820694822569837,0.807501690688713,-2.0271497146570328,-0.3903672573157165,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
10,1.0,12.0,2017.0,-0.5668594724256003,-0.21669453555438456,-1.3716280679953772,-1.6809505298574319,-0.5065508465186169,0.919295255710528,-1.935263454173576,0.0931156681157554,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
11,1.0,12.0,2017.0,-0.5342993465597103,-0.07223151185146152,-1.1204589474965387,-1.8282892172274492,-0.4100481842702787,0.8206538748089266,-1.858691570437362,0.42694911662796203,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
12,1.0,12.0,2017.0,-0.3963064321757003,0.07223151185146152,-0.9362682591307239,-1.7300634256474376,-0.3135455220219407,0.9258713477706347,-1.6289759192287205,0.6226445864454627,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
13,1.0,12.0,2017.0,-0.39320546780752025,0.21669453555438456,-0.8776621310143281,-1.631837634067426,-0.1205401975252643,0.9258713477706347,-1.5064609052507785,0.6802020775682568,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
14,1.0,12.0,2017.0,-0.39940739654388024,0.36115755925730764,-0.8274283069145604,-1.5827247382774203,0.2654704514680881,0.9258713477706347,-1.4298890215145645,0.5075296041998741,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
15,1.0,12.0,2017.0,-0.37459968159844026,0.5056205829602307,-0.902779043064212,-1.0915957803773628,1.4235023984481456,0.9258713477706347,-1.18485899355868,-0.03351081235439197,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
16,1.0,12.0,2017.0,-0.34203955573255024,0.6500836066631537,-0.9781297792138636,-0.20756365615725933,2.388529020931527,-1.0584644313665796,-0.8479427051193388,-0.3788557590911576,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
17,1.0,12.0,2017.0,-0.23195532066216018,0.7945466303660768,-1.0116189952803754,-0.011112072997236332,-0.1205401975252643,0.9258713477706347,-0.8096567632512318,-0.5630397306840992,-0.13179988368373619,-0.17189109256898677,-0.5762957472697225,-0.5805138559899644,-0.5805138559899644,-0.227756885400337,0
