,Month,Year,Temperature(C),Humidity(%),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Autumn,Holiday,Functioning Day
0,12.0,2017.0,-1.5139572362780525,-1.042482884587357,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
1,12.0,2017.0,-1.5390741483279362,-0.9933699887973514,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
2,12.0,2017.0,-1.580935668411076,-0.9442570930073456,0.9258713477706347,-1.6672618610968273,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
3,12.0,2017.0,-1.597680276444332,-0.8951441972173398,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
4,12.0,2017.0,-1.580935668411076,-1.0915957803773628,0.9258713477706347,-1.73617655645942,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
5,12.0,2017.0,-1.614424884477588,-1.042482884587357,0.9258713477706347,-1.7438337448330412,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
6,12.0,2017.0,-1.6311694925108438,-1.1407086761673686,0.9258713477706347,-1.8050912518220124,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
7,12.0,2017.0,-1.6981479246438673,-0.9933699887973514,0.9258713477706347,-1.7897768750747698,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
8,12.0,2017.0,-1.7148925326771234,-1.042482884587357,0.9258713477706347,-1.8280628169428768,-0.6436202182560112,-0.5762957472697225,-0.227756885400337,0
9,12.0,2017.0,-1.6227971884942156,-1.5336118424874146,0.807501690688713,-2.0271497146570328,-0.3903672573157165,-0.5762957472697225,-0.227756885400337,0
10,12.0,2017.0,-1.3716280679953772,-1.6809505298574319,0.919295255710528,-1.935263454173576,0.0931156681157554,-0.5762957472697225,-0.227756885400337,0
11,12.0,2017.0,-1.1204589474965387,-1.8282892172274492,0.8206538748089266,-1.858691570437362,0.42694911662796203,-0.5762957472697225,-0.227756885400337,0
12,12.0,2017.0,-0.9362682591307239,-1.7300634256474376,0.9258713477706347,-1.6289759192287205,0.6226445864454627,-0.5762957472697225,-0.227756885400337,0
13,12.0,2017.0,-0.8776621310143281,-1.631837634067426,0.9258713477706347,-1.5064609052507785,0.6802020775682568,-0.5762957472697225,-0.227756885400337,0
14,12.0,2017.0,-0.8274283069145604,-1.5827247382774203,0.9258713477706347,-1.4298890215145645,0.5075296041998741,-0.5762957472697225,-0.227756885400337,0
15,12.0,2017.0,-0.902779043064212,-1.0915957803773628,0.9258713477706347,-1.18485899355868,-0.03351081235439197,-0.5762957472697225,-0.227756885400337,0
16,12.0,2017.0,-0.9781297792138636,-0.20756365615725933,-1.0584644313665796,-0.8479427051193388,-0.3788557590911576,-0.5762957472697225,-0.227756885400337,0
17,12.0,2017.0,-1.0116189952803754,-0.011112072997236332,0.9258713477706347,-0.8096567632512318,-0.5630397306840992,-0.5762957472697225,-0.227756885400337,0
18,12.0,2017.0,-1.0283636033136312,0.3817910933228097,0.9258713477706347,-0.6947989376469109,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
19,12.0,2017.0,-1.078597427413399,0.922032947012873,0.9258713477706347,-0.5799411120425901,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
20,12.0,2017.0,-1.103714339463283,1.0202587385928845,0.7828413454633127,-0.5799411120425901,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
21,12.0,2017.0,-1.1455758595464227,1.118484530172896,0.4112921440672809,-0.5875983004162114,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
22,12.0,2017.0,-1.1539481635630506,1.2167103217529074,-0.09342292154591283,-0.5722839236689687,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
23,12.0,2017.0,-1.1874373796295623,1.2658232175429132,-0.28248556827398213,-0.5875983004162114,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
24,12.0,2017.0,-1.2292988997127021,1.4131619049129305,-0.728015805346215,-0.5875983004162114,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
25,12.0,2017.0,-1.262788115779214,1.3640490091229247,-0.7345918974063218,-0.6335414306579398,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
26,12.0,2017.0,-1.3213942438956097,1.3640490091229247,-0.29728177540922235,-0.6871417492732895,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
27,12.0,2017.0,-1.3716280679953772,1.118484530172896,-0.3548225809351565,-0.7866851981303675,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
28,12.0,2017.0,-1.396744980045261,1.0202587385928845,-0.44359982374659773,-0.8402855167457174,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
29,12.0,2017.0,-1.4134895880785168,1.0202587385928845,-0.3860590182206636,-0.8555998934929601,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
30,12.0,2017.0,-1.4386065001284007,1.1675974259629018,-0.4255155705813041,-0.8402855167457174,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
31,12.0,2017.0,-1.4469788041450289,1.118484530172896,-0.26440131510868853,-0.8555998934929601,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
32,12.0,2017.0,-1.430234196111773,1.0202587385928845,-0.0013576327044182146,-0.870914270240203,-0.6436202182560112,-0.5762957472697225,-0.227756885400337,0
33,12.0,2017.0,-1.3213942438956097,0.4800168849028212,0.08248754106194296,-0.9168574004819313,-0.3097867697438045,-0.5762957472697225,-0.227756885400337,0
34,12.0,2017.0,-1.1120866434799108,-0.06022496878724208,-0.2101485556128078,-0.9092002121083099,0.2657881414841382,-0.5762957472697225,-0.227756885400337,0
35,12.0,2017.0,-0.9195236510974678,-0.4531281351072881,-0.050678323155218905,-0.9015430237346884,0.49601810597531526,-0.5762957472697225,-0.227756885400337,0
36,12.0,2017.0,-0.7185883546983971,-0.8460313014273341,0.3767676607517204,-0.9092002121083099,0.599621589996345,-0.5762957472697225,-0.227756885400337,0
37,12.0,2017.0,-0.5762591864157218,-1.0915957803773628,0.564186284464763,-0.9168574004819313,0.6341560846700216,-0.5762957472697225,-0.227756885400337,0
38,12.0,2017.0,-0.46741923419955844,-1.1407086761673686,0.8518903120944337,-0.8555998934929601,0.4845066077507564,-0.5762957472697225,-0.227756885400337,0
39,12.0,2017.0,-0.44230232214967463,-0.8460313014273341,0.8486022660643803,-0.6794845608996682,0.19671915213678504,-0.5762957472697225,-0.227756885400337,0
40,12.0,2017.0,-0.5427699703492099,-0.5022410308972939,0.8354500819441668,-0.6029126771634542,-0.40187875554027536,-0.5762957472697225,-0.227756885400337,0
41,12.0,2017.0,-0.5762591864157218,-0.3549023435272766,0.7466728391327255,-0.5646267352953473,-0.5860627271332169,-0.5762957472697225,-0.227756885400337,0
42,12.0,2017.0,-0.6181207064988615,-0.2566765519472651,0.4277323742175478,-0.5646267352953473,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
43,12.0,2017.0,-0.6599822265820013,-0.30578944773727085,0.3767676607517204,-0.618227053910697,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
44,12.0,2017.0,-0.6934714426485131,-0.3549023435272766,0.24360179653455855,-0.6641701841524253,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
45,12.0,2017.0,-0.7353329627316529,-0.15845076036725358,0.01837064347590206,-0.6258842422843184,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
46,12.0,2017.0,-0.7855667868314206,-0.20756365615725933,0.015082597445848682,-0.6871417492732895,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
47,12.0,2017.0,-0.7437052667482809,-0.10933786457724784,-0.13945556596666014,-0.618227053910697,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
48,12.0,2017.0,-0.7437052667482809,-0.011112072997236332,-0.23152085480815476,-0.5799411120425901,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
49,12.0,2017.0,-0.7520775707649088,0.5291297806928269,-1.5648235199948,-0.40382577944929815,-0.6551317164805701,-0.5762957472697225,-0.227756885400337,0
